variety,description
Pinot Noir,"From old vines planted in a single vineyard, this is a spectacular red. It has the crisp acidity of the cool-climate Sancerre, but it also has the weight and ripeness of a fine Burgundy. The wood aging has left a spicy toasty edge to the beautiful cherry fruits and acidity. It could age for another year to be at its best. Drink from 2019."
Pinot Noir,"Firm and structured, this is a solid wine that will take time to mature. The vineyard, backed by woods, is considered one of the top premier crus in Mercurey. Certainly, this wine with its solid tannins and wood flavors that are backed by acidity and red-berry fruits, is one with a serious future. Drink from 2021."
Pinot Noir,"A swell deal for lovers of rich Pinot Noir who can't afford single-vineyard pricing, this countywide blend packs rose petals, stewed red cherries, hibiscus punch, wet gravel, black plum and nutmeg on the nose. The palate is juicy with a wide array of berry and cherry fruit, boosted by gingerbread spice and dark clay minerality. It's ripe but layered."
Pinot Noir,"From one of the larger of the great grands crus of Vosne-Romanée and Flagey-Echézeaux, this is a dark, structured wine. It has power and juicy acidity that drive its black plum and berry fruit flavors. A dry core of tannins promises many years of maturing. Drink from 2026."
Pinot Noir,"With its attractive red-fruit flavors, this is a light, perfumed wine. It has spice, fine acidity and a smooth texture that is just lifted by tannins. Drink now."
Pinot Noir,"This wine comes from the fourth-generation winemaking family behind Los Angeles' San Antonio Winery, which owns vineyards in Santa Lucia Highlands and Arroyo Seco. It offers aromas of smoked pork loin and wild berries and is peppery on the palate, with tart raspberry fruit and the driving sense of smoke throughout. The tannins are a bit firm right now, so wait until 2016 or so."
Pinot Noir,"This medium-bodied Pinot Noir shows tasty varietal characteristics such as complex aromas of tea, plums and forest floor, almost-sweet cherry flavors, refreshing acidity, moderate tannins and a lingering finish. It earns its points with charm rather than weight."
Pinot Noir,"his is representative of the Cupcake style—a Pinot that lush with raspberry and rhubarb flavors, but also decent acidity. Drink up."
Pinot Noir,"This sophisticated and compelling wine combines full body and a muscular texture with very tasty, solid fruit flavors. The balance between acidity, tannin and flavor is good, and the finish is tangy and lingering."
Pinot Noir,"Given its high-octane aroma of barrel and petrol, this Pinot is defined by its need to settle down, more disheveled teenager than the groomed adult it surely will become. The bones are there, dark berry fruit and lurking, earthy spice. There's a developing softness to the texture, the aromas still being worked out."
Pinot Noir,"This is a pure expression of Pinot Noir from one of Italy's first organic and biodynamic wine producers located in the far, mountainous north of the country. Aged in oak barrique, the wine is elegant, fine and silky, with beautiful aromas of wild berry, almond, cola and herb."
Pinot Noir,"This wine is solidly built with tannin and oak, a searing earthiness dulling the fruit. Tar, earth and spicy cardamom aromas domainate its full-bodied concentration and youthful ripeness."
Pinot Noir,"Scoring slightly higher than the Alderpoint vineyard-designated wine, this basic Humboldt County bottling bursts with with black cherry aroma. It's medium-bodied, free of oak-driven flavor and loaded with fruit. Lively acidity and mouth-filling texture keep the cherry and raspberry notes echoing through the finish, striking wonderful balance in an appetizing, mouthwatering package."
Pinot Noir,"From the new, négociant side of Domaine Jessiaume, now owned by Scottish businessman Sir David Murray. The wine hints at the grandeur possible from Clos de Vougeot without quite achieving it. The power is there, but without the black richness. Instead, there are fine tannins, firm dark fruit skins and elegance. Age for 3–4 years."
Pinot Noir,"Undeniably riper than the 2011, this soft and smooth wine offers pretty red plum and cherry pit flavors, lightly spicy and supple. Lovely though it is, the wine tilts toward a high-toned finish, suggesting that it's best consumed young."
Pinot Noir,"Intensely perfumed, this wine has soft tannins and a smooth, red-fruit-dominated texture. From a 3.5-acre premier-cru vineyard, it is ripe while light in character, suggesting it will age smoothly and quickly. The wine is almost ready now, although it will be best from 2018."
Pinot Noir,"Attractive red fruits and freshness combine to produce a lively, elegant wine with a light structure and complete fruitiness. Drink from 2017."
Pinot Noir,"Lucky Failla gets to source grapes from this vineyard that most winemakers would trade their left arm for. It's lush, ripe and amazingly generous in raspberries and cherries, yet retains an elegant balance, as well as fine, mouthwatering acidity. Part of the attraction is low alcohol, which lets the stones and earthy complexities of the wine shine through. This is really a brilliant wine—light, delicate and powerful. If you want to age it for eight years or so, you won't be sorry."
Pinot Noir,"Winemaker Gustavo Gonzalez left Robert Mondavi to do his own thing, and what an auspicious start. He's taken fruit from this historic Carneros vineyard and crafted a big and bold yet balanced Pinot filled with lusciousness. The flavors are enormously complex, ranging from fresh raspberry jam and cranberries to red currants and persimmons. Earthy cola, mushroom and forest floor notes add complexity. The acid-tannin balance is just about perfect. Good as it is, this compelling Pinot should develop well over the next six years."
Pinot Noir,"Dusty and toasty, with plenty of spice and just a hint of composty barnyard, this biodynamically farmed fruit brings in subtle notes of dried leaf and herb. Cranberry fruit flavors roll into fine-grained tannins and a medium-long finish."
Pinot Noir,"Shows the Morgan signature of full-bodied weight, concentrated raspberry and cherry fruit, brisk acidity, notable tannins and dryness that make their Pinots Noirs so enjoyable. Very nice to drink now and over the next 3–4 years."
Pinot Noir,"Owned by the Devillard family, Château de Chamirey produces firmly textured wines. This Mercurey is on the dry side, while not losing sight of fresh red-berry fruits and bright acidity."
Pinot Noir,"Right off the bat, this Pinot impresses for sheer depth of fruity flavor. It's rich and showy with plums and cherries, spicy notes of tobacco and pine, and toasty, new oak. The tannin-acid structure is impeccably balanced. Delicious to drink now, but should also mature beautifully. A majority of the grapes come from the winery's Wayfarer Vineyard, in the new Fort Ross-Seaview appellation."
Pinot Noir,"With brisk acidity, a bone-dry finish and some dusty tannins, this is an interesting Pinot Noir, with a silky texture and cherry jam, pomegranate and cranberry flavors that are ready to drink now."
Pinot Noir,"This reserve offers rather light strawberry fruit, and some highlights of tobacco and milk chocolate. It spent 18 months in one-third new French oak. Despite the reserve tag and the excellent vintage, it comes across as simple and a bit dilute."
Pinot Noir,"Light and clear in color this wine is somewhat simple on the palate and marked by the presence of oak. Light bodied, it has flavors of baked bread and strawberry jam that get along well before a wave of vanilla lingers on the finish."
Pinot Noir,"Doesn't taste quite ripe, with very dry, herbal flavors and also a strong hit of acidity. Almost suggests wintergreen sour candy, although there's some decent cherry and cola, accented, of course, by oak. Awkward, but could just be young. Hard to tell."
Pinot Noir,"The 2005 Pinot Noir from Honeywood is a dead ringer for—guess what!—the 2004 Pinot Noir from the same winery. Soft entry, herbal and somewhat stemmy mid-palate, tannic, slightly hot finish."
